Type of Event,Date,Name of Events,Location,Address,phone,url,Cost,hours,Description
West,Monday,2nd Mon of mth,La Leche League - Parkdale/High Park at The Village Healing Centre,-,-,-,-,9:45am,
West,Monday,Indoor Playground (0-5yrs),Mary McCormick CRC,-,-,-,-,9:30-11:45am,
West,Monday,TDSB Drop-in,Alexander Muir/Gladstone PS,-,-,-,-,8:45am-12:45pm,
West,Monday,TDSB Drop-in,Charles G Fraser Jr PS,-,-,-,-,"8:45am-12:30pm, 1-3:30pm",
West,Monday,TDSB Drop-in,Essex PS,-,-,-,-,9am-2pm,
West,Monday,TDSB Drop-in,Fern Avenue PS,-,-,-,-,8:45am-1:45pm,
West,Monday,TDSB Drop-in,Indian Road Crescent Jr PS,-,-,-,-,9am-1:30pm,
West,Monday,TDSB Drop-in,Kensington Comm School Jr,-,-,-,-,9am-12pm & 12:30-3:15pm,
West,Monday,TDSB Drop-in,Niagara Street PS,-,-,-,-,9am-2pm,
West,Monday,TDSB Drop-in,Parkdale Jr & Sr PS,-,-,-,-,9am-2pm,
West,Monday,TDSB Drop-in,Queen Victoria PS,-,-,-,-,9am-2pm,
West,Monday,TDSB Drop-in,Ryerson Comm School,-,-,-,-,8:45am-12:45pm,
West,Monday,TDSB Drop-in,Shirley Street School,-,-,-,-,11:30am-3:30pm,
West,Monday,Family Drop-In,Creating Together,-,-,-,-,9:30am-3pm,
West,Monday,Family Drop in (0-6yrs),St Alban’s Boys & Girls Club,-,-,-,-,9:30am-12:30pm,
West,Monday,Macaulay Drop-in preschool program,Junction Caregiver Resource Centre at Annette Public Library,-,-,-,-,10am-1pm,
West,Thursday,Farmer's Market,Dufferin Grove Park Farmers’ Market at Rinkhouse,-,-,-,-,3-7pm,
West,Sunday,"Meet at benches south side of Grenadier Café Donations welcome (all ages), 5, 19 Apr",Family Nature Walks,-,-,-,-,10:30am-12pm,
West,Thursday,Family Drop-in (2.5-6yrs); $2/visit,Harbourfront CC,-,-,-,-,10am-12pm,
West,Tuesday,TDSB Drop-in,Indian Road Crescent Jr PS,-,-,-,-,9am-1:30pm,
West,Tuesday,Drop in (0-5yrs),More Than Child's Play at Masaryk Cowan,-,-,-,-,12-3:45pm,
West,Monday,Drop in (0-5yrs),More Than Child's Play at Masaryk Cowan,-,-,-,-,3-6pm,
West,Friday,Family Drop-In,Creating Together,-,-,-,-,9:30am-2pm,
West,Saturday,Indoor Playground (0-5yrs),Trinity CRC,-,-,-,-,10am-12pm,
West,Friday,Family Drop-In,Children's Storefront,-,-,-,-,9am-2pm,
West,Saturday,"Family Drop-In, 7, 21 Mar",Creating Together,-,-,-,-,10am-2pm,
West,Wednesday,Toddler Time (19mos-3yrs),Jane/Dundas Public Library,-,-,-,-,"9:15-9:45am, 10-10:30am, 10:45-11:15am",
Citywide,Friday,"ROM Friday Night Discount: free (0-3yrs) $7/4-14yrs, $10/adult",Royal Ontario Museum,-,-,-,-,4:30-8:30pm,
Citywide,Thursday,PWYC $5/sug donation,Bata Shoe Museum,-,-,-,-,5-8pm,
West,Tuesday,Indoor Playground (0-5yrs),Wallace Emerson CC,-,-,-,-,9:30-11:45am,
West,Wednesday,Family Drop in (0-6yrs),St Alban’s Boys & Girls Club,-,-,-,-,9:30am-12:30pm,
West,Thursday,Family Drop in (0-6yrs),St Alban’s Boys & Girls Club,-,-,-,-,9:30am-12:30pm,
West,Friday,Family Drop in (0-6yrs),St Alban’s Boys & Girls Club,-,-,-,-,9:30am-12:30pm,
West,Tuesday,Indoor Playground (0-5yrs),Bob Abate CRC,-,-,-,-,9:30-11:30am,
West,Thursday,Indoor Playground (0-5yrs),Bob Abate CRC,-,-,-,-,9:30-11:30am,
West,Wednesday,Indoor Playground (0-5yrs),Mary McCormick CRC,-,-,-,-,9:30-11:45am,
West,Tuesday,TDSB Drop-in,Alexander Muir/Gladstone PS,-,-,-,-,8:45am-12:45pm,
West,Wednesday,TDSB Drop-in,Alexander Muir/Gladstone PS,-,-,-,-,8:45am-12:45pm,
West,Thursday,TDSB Drop-in,Alexander Muir/Gladstone PS,-,-,-,-,8:45am-12:45pm,
West,Tuesday,TDSB Drop-in,Charles G Fraser Jr PS,-,-,-,-,"8:45am-12:30pm, 1-3:30pm",
West,Wednesday,TDSB Drop-in,Charles G Fraser Jr PS,-,-,-,-,"8:45am-12:30pm, 1-3:30pm",
West,Thursday,TDSB Drop-in,Charles G Fraser Jr PS,-,-,-,-,"8:45am-12:30pm, 1-3:30pm",
West,Tuesday,TDSB Drop-in,Essex PS,-,-,-,-,9am-2pm,
West,Wednesday,TDSB Drop-in,Essex PS,-,-,-,-,9am-2pm,
West,Thursday,TDSB Drop-in,Essex PS,-,-,-,-,9am-2pm,
West,Tuesday,TDSB Drop-in,Fern Avenue PS,-,-,-,-,8:45am-1:45pm,
West,Wednesday,TDSB Drop-in,Fern Avenue PS,-,-,-,-,8:45am-1:45pm,
West,Thursday,TDSB Drop-in,Fern Avenue PS,-,-,-,-,8:45am-1:45pm,
West,Tuesday,OEYC Early Learning Drop-in,St Helen's Children's Place at Mary McCormick CRC,-,-,-,-,9am-2pm,
West,Tuesday,TDSB Drop-in,Kensington Comm School Jr,-,-,-,-,9am-12pm & 12:30-3:15pm,
West,Wednesday,TDSB Drop-in,Kensington Comm School Jr,-,-,-,-,9am-12pm & 12:30-3:15pm,
West,Thursday,TDSB Drop-in,Kensington Comm School Jr,-,-,-,-,9am-12pm & 12:30-3:15pm,
West,Tuesday,TDSB Drop-in,Niagara Street PS,-,-,-,-,9am-2pm,
West,Wednesday,TDSB Drop-in,Niagara Street PS,-,-,-,-,9am-2pm,
West,Thursday,TDSB Drop-in,Niagara Street PS,-,-,-,-,9am-2pm,
West,Tuesday,TDSB Drop-in,Parkdale Jr & Sr PS,-,-,-,-,9am-2pm,
West,Wednesday,TDSB Drop-in,Parkdale Jr & Sr PS,-,-,-,-,9am-2pm,
West,Thursday,TDSB Drop-in,Parkdale Jr & Sr PS,-,-,-,-,9am-2pm,
West,Tuesday,TDSB Drop-in,Queen Victoria PS,-,-,-,-,9am-2pm,
West,Wednesday,TDSB Drop-in,Queen Victoria PS,-,-,-,-,9am-2pm,
West,Thursday,TDSB Drop-in,Queen Victoria PS,-,-,-,-,9am-2pm,
West,Tuesday,TDSB Drop-in,Ryerson Comm School,-,-,-,-,8:45am-12:45pm,
West,Wednesday,TDSB Drop-in,Ryerson Comm School,-,-,-,-,8:45am-12:45pm,
West,Thursday,TDSB Drop-in,Ryerson Comm School,-,-,-,-,8:45am-12:45pm,
West,Tuesday,TDSB Drop-in,Shirley Street School,-,-,-,-,11:30am-3:30pm,
West,Wednesday,TDSB Drop-in,Shirley Street School,-,-,-,-,11:30am-3:30pm,
West,Thursday,TDSB Drop-in,Shirley Street School,-,-,-,-,11:30am-3:30pm,
West,Tuesday,Family Drop-In,Children's Storefront,-,-,-,-,9am-6pm,
West,Wednesday,Family Drop-In,Children's Storefront,-,-,-,-,9am-6pm,
West,Thursday,Family Drop-In,Children's Storefront,-,-,-,-,9am-6pm,
West,Tuesday,Family Drop-In,Creating Together,-,-,-,-,9:30am-3pm,
West,Wednesday,Family Drop-In,Creating Together,-,-,-,-,9:30am-3pm,
West,Thursday,Family Drop-In,Creating Together,-,-,-,-,9:30am-2pm,
West,Wednesday,TDSB Drop-in,Indian Road Crescent Jr PS,-,-,-,-,9am-12pm & 12:30-4pm,
West,Thursday,TDSB Drop-in,Indian Road Crescent Jr PS,-,-,-,-,9am-1:30pm,
West,Thursday,Macaulay Drop-in preschool program,Junction Caregiver Resource Centre at Annette Public Library,-,-,-,-,12:30-4pm,
West,Tuesday,Macaulay Drop-in preschool program,Junction Caregiver Resource Centre at Annette Public Library,-,-,-,-,12:30-4pm,
West,Wednesday,Drop in (0-5yrs),More Than Child's Play at Masaryk Cowan,-,-,-,-,1-2:30pm,
West,Thursday,Drop in  (0-5yrs),More Than Child's Play at Masaryk Cowan,-,-,-,-,12-3:45pm,
